288,57773,108976,"[561, 61541, 9571, 27442, 80696, 45323, 57773, 11267, 39920, 11408, 81394, 79316, 61420, 24196, 82236, 26929, 52303, 5153, 93194, 73194]"
288,29538,53806,"[82906, 69835, 103304, 51143, 14965, 72603, 31238, 34064, 49039, 39814, 63908, 12786, 59376, 15494, 40775, 30262, 15522, 49884, 27637, 19482]"
288,65076,12173,"[69565, 100240, 71289, 66859, 38011, 37797, 20837, 50007, 102747, 29470, 19530, 77184, 8957, 94152, 98900, 65076, 66692, 80852, 30104, 45787]"
288,6354,12200,"[34672, 58079, 48402, 12909, 57225, 20041, 1371, 3601, 80463, 28669, 103785, 6354, 28225, 26763, 91739, 96091, 97289, 19844, 42291, 8812]"
288,48386,81364,"[30355, 590, 83704, 108587, 84516, 107091, 66138, 78241, 64092, 66545, 38845, 48386, 3111, 98977, 108566, 102680, 64072, 95534, 105934, 6472]"
288,86920,105181,"[8353, 83459, 58231, 19933, 93317, 14689, 12693, 97084, 70999, 81673, 86920, 24963, 36000, 31659, 65837, 24736, 65093, 56612, 24991, 71530]"
288,68230,106759,"[43811, 47600, 9118, 5576, 73807, 49594, 74099, 67638, 40342, 12554, 68230, 49078, 81807, 23305, 93462, 13913, 79625, 25663, 40813, 19913]"
288,89908,10545,"[65576, 22730, 39266, 64657, 101204, 65142, 6653, 38437, 69482, 39644, 62324, 89908, 4658, 8321, 106592, 16975, 44371, 101099, 45307, 83320]"
288,54705,21533,"[21778, 85091, 49731, 63988, 24539, 15141, 90847, 77259, 70359, 18059, 44492, 54705, 17649, 36999, 26834, 97701, 38741, 66237, 21275, 80705]"
288,50280,34962,"[59497, 21324, 58261, 46459, 55303, 83390, 82242, 16211, 50280, 21246, 48361, 83020, 95883, 60525, 64957, 53481, 78852, 107365, 95396, 6689]"
288,48386,88347,"[87154, 43738, 86820, 83820, 31290, 49289, 18300, 8255, 18495, 85344, 30091, 84994, 75790, 45087, 28779, 41767, 36757, 107874, 95306, 48386]"
288,11613,64034,"[87266, 94309, 31136, 8115, 71656, 26410, 3069, 51204, 62537, 11613, 12541, 68059, 5119, 101017, 13646, 97560, 88177, 38033, 10352, 4830]"
288,58818,71504,"[58818, 15231, 30843, 76764, 12696, 30037, 68338, 4663, 69383, 89198, 86993, 79321, 65087, 71275, 66070, 69969, 4856, 19914, 20228, 16526]"
288,49268,27949,"[96257, 22289, 47401, 92253, 2402, 8142, 74807, 16842, 93942, 107972, 93531, 88538, 49268, 93854, 39580, 56135, 63762, 27439, 24789, 30344]"
288,8244,105961,"[41543, 17932, 68667, 74815, 15950, 28051, 35424, 40730, 27599, 19240, 61066, 54209, 16389, 84057, 35625, 8244, 7035, 60562, 63514, 102857]"
