4393,108897,47568,102559,83115,94164,104194,74203,49968,123567,36885,796,133326,127535,22548,92514,59968,131035,88726,2643
129984,122106,7278,86413,84685,123029,13179,98453,142184,91694,88662,81605,123033,86530,65296,130173,30477,87727,76400,44052
112867,18848,29413,42381,142609,30305,108851,107456,66004,128553,62678,35744,60277,81059,38645,105401,34973,26072,12375,110293
102414,109198,23815,62749,108208,39412,125697,21068,34689,86263,22605,46130,41854,17033,59665,4099,95032,116859,69024,57127
5928,138678,130936,100215,64833,99481,20612,115701,79702,56085,100981,97029,79252,63973,21232,62964,7583,142614,77531,111433
24554,68962,135426,76684,31896,4721,92298,110452,71018,142184,11899,83883,15527,24633,12406,7166,137939,109646,66479,84952
61666,53320,127705,125640,138228,98046,18429,7989,118949,121673,135726,34290,138895,104732,42429,52761,93733,40531,62945,27635
41021,140673,79808,96133,31237,54046,23176,137331,111217,89998,97568,29113,141509,139457,3359,44634,96035,19819,10391,73154
91148,96651,65664,104600,76086,57291,126825,25995,27311,48410,64871,13716,6261,116800,141736,39581,142323,142091,13299,49991
129344,83796,60784,67627,115447,99986,61963,132278,90555,38559,2617,133501,75740,70906,135464,55144,91788,102476,67042,126392
103319,35846,105190,77599,63247,141933,140763,83341,75225,67002,120592,92045,22971,33828,121777,12946,93785,120208,10095,27396
121849,88833,56551,83143,10913,107456,70578,31115,100087,21641,24222,29766,12177,97200,125455,73456,56281,86410,91034,52930
87565,132576,131892,21950,75218,19593,77002,119734,43062,89356,34162,89996,39870,92952,95155,23338,12641,31349,73390,40690
27493,5637,72381,67043,142467,7401,124213,56243,139934,88846,72804,139984,74436,19461,76076,90701,5125,35337,7842,120229
38786,126121,60268,67657,77949,121769,135012,63433,75689,97009,88158,51063,118944,39758,61284,82271,95734,141135,101372,47032
32553,91723,21723,80699,95996,140232,83561,118668,90762,93609,116483,16401,43411,139922,117071,3996,15429,49768,98493,38793
43395,112526,122060,77843,5959,69568,39892,135699,95699,92558,45974,38875,60852,47144,97877,102291,130332,30713,115526,111445
141036,97162,135285,11704,11570,93770,37953,105144,66254,10849,61052,83951,20191,39155,33633,86478,131574,106500,111742,111993
104113,62366,38088,115418,117163,36848,37212,104605,102593,76630,7357,45216,62196,15241,51714,129752,113685,35827,40849,68110
87925,80469,37115,38334,63156,123108,14926,38795,140262,100624,93320,51983,68212,11554,84596,139040,98513,55738,104889,46828
3828,99482,131569,61690,93369,102931,93869,56836,103205,31982,34889,18881,130896,56128,117151,126642,35043,105316,50871,16259
99698,114001,133278,36305,91892,118594,138526,44861,8936,8592,70503,22261,127228,125742,52779,39244,9758,20191,41206,29883
45123,93805,64353,19199,46002,93154,61254,124183,42276,118883,47050,135953,112768,133046,66296,127201,15178,141580,99900,96543
118848,88184,115194,124886,79359,37756,106617,90850,56640,89544,97208,70194,28318,90335,115169,73521,120418,47104,26237,132242
75857,94179,22843,88119,74882,24771,25077,100294,8125,100718,104204,83739,101378,136896,11325,44728,5007,117037,45614,102291
16753,139992,53385,62574,103950,44302,30143,74123,31498,89785,40902,98177,34381,8277,70023,123508,105275,20395,28552,132692
134334,19204,95037,49102,17737,36390,34484,32904,121577,64405,117076,11106,68655,113116,138072,125563,13355,118279,89002,43117
78479,130630,52747,124032,78410,28494,100631,102515,64929,51464,130133,129292,54864,124050,133043,112061,49310,62374,15669,21225
66997,68378,97464,137662,141557,65373,61231,60026,26004,86561,121059,70977,20053,88150,108457,47622,67253,86410,111200,132886
68045,103087,6459,89888,59930,45538,132881,64022,5878,46854,66225,45662,63,140305,135006,38300,24764,45528,786,2233
72386,23280,81778,93085,10022,96781,110438,114500,9244,36307,76279,141497,124348,63940,28994,114132,62912,26902,25123,123318
2295,93694,46621,86649,91292,23051,76253,100100,78851,81093,107884,2288,90413,68737,21017,51533,67107,39094,28674,22387
18487,38272,84854,115148,32552,16833,78446,73664,48974,93599,48288,5220,45186,99680,23047,73194,136620,70758,42508,103674
24291,67390,141922,37534,100798,8493,51726,131950,104226,97349,19368,70349,70091,101491,26739,137081,13755,59740,129337,133014
129640,76246,128362,83174,99039,93858,122816,142375,123336,24745,52380,120135,93798,41304,89593,19940,123325,79004,127998,101053
21050,15509,10627,55733,138679,58997,138549,69025,8089,34620,85766,108383,15800,118883,104327,58569,58092,4134,3021,131762
8723,118797,115009,100633,27543,102470,118710,120227,1007,114822,117037,96508,109060,15471,119753,116295,126763,8800,56278,44055
