26166,86492,104680,66899,24017,86564,8024,95248,34456,44014,107926,30290,97695,79760,17491,53633,66928,56795,20769,108971,72510,54848,59247,89118,83701,11216,96325,33022,25277,32372,56764,107940,47879,86098,67704,102791,54757,82817,39073,83002,107604,43934,68223,97453,95111,5820,60161,69268,11226,108983,58183,13714,43965,95440,60970,82298,37318,33377,62952,100962,71592,76086,15326,41496,91556,8785,81379,3639,75993,34044,19955,1151,37557,14822,61685,10545,74498,9843,97025,47820,10169,60252,36638,91570,40194,85210,22908,86169,24497,29917,65556,108728,68051,64954,73793,50148,102683,19580,63836,57018
696,11254,9423,11701,106353,103038,75973,107870,88347,22570,77993,58075,8527,50678,13435,109030,95065,65456,2605,95622,68068,87718,45524,61242,23297,27353,11519,92188,44115,88998,60056,25082,33103,93344,25834,61440,103737,22201,74819,13753,23115,41040,63631,35114,37307,62665,2002,13847,8418,33198,48827,26004,19103,98073,41660,31958,100141,19827,2761,68099,76026,27370,26568,43145,94422,66715,87113,65813,87006,10311,49441,59865,52377,5870,6998,739,41448,51964,107077,19059,22483,84729,56495,14480,33246,58034,45064,83991,34685,46386,103510,46412,58349,2844,100257,48896,52007,95744,5265,98849
60829,76494,19645,19031,67539,37552,69413,67391,92252,42192,64095,47511,52387,89836,20745,80688,31833,32044,79173,96035,23297,91029,49894,32105,13980,21431,38827,32860,19549,103995,35846,13843,46652,77930,91554,79350,14160,55613,14321,30541,4308,4280,98335,52744,74102,44539,11742,9779,50850,2328,44909,5869,72577,44152,100209,33074,95550,41824,42895,29710,107759,92729,68694,66538,93726,18585,65808,102327,91641,71018,78147,29660,35388,2147,71820,87831,101674,84273,79561,33193,44308,71944,108059,32358,100644,31400,103072,72519,49802,106231,58690,99435,38102,92359,69821,23270,57300,73046,15826,20670
39173,16411,75278,104769,59520,100670,66124,55346,11710,1820,10040,62178,42561,8224,44691,20363,52871,10606,17104,59799,10971,100274,41636,73990,104024,60276,16740,89822,22020,27951,74260,34347,48588,33201,17231,28761,26047,36313,95938,41679,74096,90079,3616,94886,81167,5678,16302,8035,17469,77462,109001,9360,41496,106716,91263,44824,35581,11839,92971,46633,78155,94551,4474,82135,56542,29945,5320,38137,73857,45928,61697,82004,85941,92305,55940,69121,18984,11859,14226,80397,4467,43190,56495,86892,42207,65296,59754,102809,83071,41770,55627,71116,66259,21152,98430,43362,107658,25842,7190,78527
84406,40426,90091,51529,106505,66815,62934,104680,82662,57753,4087,98548,11582,36035,89930,12603,85837,46019,82297,26495,61756,106748,76994,105127,41067,33365,68489,83701,22034,12766,93779,45712,56600,8347,22020,52996,50789,64678,53566,92060,2763,64548,29399,31606,64856,27817,24792,20540,101224,49000,46015,78506,59642,94869,5671,54413,41679,77843,87797,73885,65303,5034,7649,37434,5044,4193,80532,69604,42699,49792,71741,90363,67855,8555,83445,29209,86746,76404,87895,101508,78204,105336,71707,74738,29143,73017,74192,76504,8291,10321,94151,95782,81878,52695,91448,33437,78182,52859,78322,25869
51745,8168,92993,76494,65136,18194,73936,10431,104136,103922,96376,15056,53517,66054,61689,39364,64997,43076,86482,79030,86978,30718,37530,38822,77314,54191,38040,105195,107789,76890,66771,44118,43035,14087,20964,87035,23630,63252,27170,102009,25275,101247,22201,18582,52674,29818,34931,109227,34072,100241,101224,9360,39271,41679,58873,13316,4171,48827,105874,97395,46229,101682,18643,29885,36055,45078,89474,64583,1117,928,87006,19153,100806,101484,94984,47710,10061,105146,71028,72366,29757,3752,76016,64612,28301,67138,46350,19671,22867,54609,45064,59117,60235,60280,12621,95447,8022,102527,30029,57520
67865,101256,53814,90910,55539,73966,53050,12455,40032,12206,51492,82501,94089,66253,101319,64574,52894,47230,87439,60727,84689,14350,10284,56163,24329,55195,94085,68345,54848,64126,72465,81397,51787,72126,42089,46737,1498,77916,88338,2352,102939,9018,4171,72416,21026,41285,54265,39271,91964,25937,10298,33095,64937,52744,34001,42953,71091,56324,25780,4428,75359,6114,41266,63231,29477,48178,80641,25774,41348,42754,62316,40618,8201,74854,71028,8785,84008,36466,85941,25553,60570,81784,53602,60360,4773,54871,1669,104097,46047,42699,62999,26197,33249,17866,15538,92626,103226,65296,15037,5206
46982,4975,17462,69687,1810,24017,100729,44381,74246,78450,64574,8960,5456,66998,15351,89525,62278,59097,5290,45224,66121,34914,97562,104264,62975,39022,80476,55020,63905,60818,63996,38615,11865,4053,106546,14358,63252,36868,8302,73581,84132,53977,14182,61215,82245,42842,46964,12271,42806,55755,108009,85388,75139,7418,11878,53241,2418,4021,30553,15188,93644,26210,33294,33502,81260,41348,78326,50993,77505,4967,30298,53147,80403,95034,50924,19107,5700,45353,15603,10266,102327,56974,25751,43915,96442,22908,53369,51591,104361,37718,106089,34700,73751,59982,43219,84729,65804,48896,39989,72561
61248,9473,86933,46285,104136,58403,53698,20516,58288,58529,12062,81373,93746,34542,56012,48913,106014,48679,104395,66733,54824,47879,13980,16563,83301,77098,107191,90378,76095,83701,58421,76736,64995,63500,8302,3258,9397,64548,53581,84966,104246,12697,44253,699,33688,88994,85722,79448,94967,48622,42953,44440,78561,28690,7482,63541,78506,2418,43861,78287,51853,77996,99999,53541,53510,28602,95968,82420,101580,81854,69604,47820,102168,70188,17660,372,48623,74771,5511,88061,95789,6405,20451,23654,71028,34792,107407,95222,54192,65056,14230,32085,54612,68038,26392,477,58690,63207,71798,12798
105194,92056,82662,96455,79720,14712,62636,21687,41427,67865,53633,101319,74740,76594,63929,8224,43546,32989,28660,11259,70230,85542,86326,99477,4667,84513,87089,91902,56163,62593,3258,38717,80004,21990,20465,41609,84136,74259,104413,13220,18660,26709,68367,42831,89957,45027,106202,90765,72533,22562,107134,63029,58078,37988,10510,100962,23204,75359,52207,75450,48541,39180,41709,48578,88493,6180,62058,51857,64728,81411,14774,13338,56542,49456,38170,54206,90359,17193,80366,100408,55814,73832,11400,9733,59824,82465,83014,86578,24636,84112,76198,105021,67400,99947,1770,100043,103279,65997,22714,101728
